,Unnamed: 0,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
22278,22278,27, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,44, United-States,<=50K
8950,8950,27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,<=50K
7838,7838,25, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,<=50K
16505,16505,46, Private, 5th-6th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,40, United-States,<=50K
19140,19140,45, Private, 11th, Divorced, Transport-moving, Not-in-family, White, Male,76, United-States,>50K
12319,12319,29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,75, United-States,<=50K
28589,28589,42, Local-gov, HS-grad, Separated, Other-service, Not-in-family, Black, Female,60, ?,<=50K
10000,10000,34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,50, United-States,<=50K
28530,28530,60, Local-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Male,40, United-States,>50K
24237,24237,19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,40, United-States,<=50K
12227,12227,21, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,8, United-States,<=50K
821,821,31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,46, United-States,<=50K
25012,25012,53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,>50K
24579,24579,35, ?, HS-grad, Married-civ-spouse, ?, Other-relative, White, Female,25, United-States,<=50K
29295,29295,51, Local-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States,<=50K
4763,4763,31, Federal-gov, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,50, United-States,>50K
10371,10371,37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,52, United-States,<=50K
6964,6964,29, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,60, India,<=50K
9907,9907,68, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,15, United-States,<=50K
30594,30594,24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
28635,28635,46, Private, 11th, Separated, Machine-op-inspct, Not-in-family, White, Female,40, United-States,<=50K
